rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27791,31699,2812,30747,84,89
27791,2259,17839,25597,58,85
27791,2259,2812,30740,119,136
27791,23339,17839,25630,206,245
27791,23339,2812,30720,13,18
27791,2812,17839,25614,109,113
27793,31699,17839,37582,7,25
27793,31699,2812,42520,87,77
27793,2259,17839,37551,190,240
27793,2259,2812,42517,127,135
27793,23339,17839,37590,104,101
27793,23339,2812,42500,7,17
27793,2812,17839,37578,217,46
27794,31699,17839,43562,207,16
27794,31699,2812,48666,82,81
27794,2259,17839,43524,171,199
27794,2259,2812,48662,135,134
27794,23339,17839,43561,51,78
27794,23339,2812,48635,15,9
27794,2812,17839,43534,217,243
27797,31699,17839,61506,252,31
27797,31699,2812,1046,88,90
27797,23339,17839,61484,92,156
27797,23339,2812,1016,20,13
27797,2259,17839,61462,218,221
27797,2259,2812,1041,149,130
27797,2812,17839,61475,23,20
27796,31699,17839,55510,115,128
27796,31699,2812,60438,90,83
27796,2259,17839,55485,46,57
27796,2259,2812,60443,120,121
27796,23339,17839,55508,215,227
27796,23339,2812,60408,4,19
27796,2812,17839,55515,100,83
27795,31699,17839,49542,178,170
27795,31699,2812,54806,83,88
27795,2259,17839,49516,128,99
27795,2259,2812,54806,133,143
27795,23339,17839,49523,29,13
27795,23339,2812,54780,13,21
27795,2812,17839,49519,157,189
27798,31699,17839,1944,165,148
27798,31699,2812,7187,85,93
27798,2259,17839,1917,85,106
27798,2259,2812,7185,136,150
27798,23339,17839,1946,11,213
27798,23339,2812,7165,20,9
27798,2812,17839,1933,141,110
27799,31699,17839,7934,35,246
27799,31699,2812,12820,89,84
27799,23339,17839,7924,107,81
27799,23339,2812,12793,14,11
27799,2259,17839,7897,233,169
27799,2259,2812,12818,129,129
27799,2812,17839,7900,59,202
27800,31699,17839,13906,144,161
27800,31699,2812,18967,81,87
27800,2259,17839,13878,81,106
27800,2259,2812,18966,134,131
27800,23339,17839,13920,221,246
