rolling,AnchorId,TagID,Distance,RXL,FPL
317,2812,17839,291,65,75
323,17839,2812,292,68,74
323,2812,17839,287,65,74
329,17839,2812,290,67,74
329,2812,17839,290,65,76
362,17839,2812,289,67,74
362,2812,17839,289,65,76
335,17839,2812,292,68,74
335,2812,17839,286,67,75
341,17839,2812,287,68,76
341,2812,17839,292,65,75
347,17839,2812,290,67,73
347,2812,17839,289,65,74
353,17839,2812,289,68,74
353,2812,17839,289,67,74
359,17839,2812,287,68,74
359,2812,17839,291,65,75
363,17839,2812,293,68,74
363,2812,17839,289,65,75
364,17839,2812,289,68,74
364,2812,17839,289,65,74
365,17839,2812,289,67,74
365,2812,17839,288,65,74
366,17839,2812,289,68,74
366,2812,17839,287,65,74
367,17839,2812,288,68,76
367,2812,17839,291,65,75
368,17839,2812,287,67,75
368,2812,17839,291,65,75
370,17839,2812,291,67,74
370,2812,17839,289,67,75
369,17839,2812,291,67,74
369,2812,17839,290,65,75
371,17839,2812,290,68,75
371,2812,17839,290,67,75
372,17839,2812,289,68,74
372,2812,17839,287,67,74
373,17839,2812,290,67,74
373,2812,17839,288,65,74
374,17839,2812,287,68,76
374,2812,17839,290,65,75
375,17839,2812,288,67,75
375,2812,17839,290,65,75
376,17839,2812,290,68,75
376,2812,17839,291,65,76
377,17839,2812,290,68,74
377,2812,17839,289,65,74
378,17839,2812,291,67,74
378,2812,17839,286,67,75
379,17839,2812,289,67,74
379,2812,17839,287,67,75
380,17839,2812,286,68,75
380,2812,17839,291,65,74
381,17839,2812,287,68,75
381,2812,17839,291,67,75
382,17839,2812,291,68,75
382,2812,17839,287,65,74
384,17839,2812,287,68,75
383,17839,2812,291,68,74
383,2812,17839,292,65,75
385,2812,17839,292,65,75
387,17839,2812,292,67,74
387,2812,17839,288,69,77
386,2812,17839,291,67,75
388,17839,2812,291,67,73
388,2812,17839,287,67,74
389,17839,2812,288,68,74
389,2812,17839,291,70,79
390,17839,2812,287,68,74
390,2812,17839,287,65,74
391,17839,2812,291,68,76
391,2812,17839,288,65,74
392,17839,2812,287,68,76
392,2812,17839,292,67,75
393,17839,2812,288,68,75
393,2812,17839,291,65,75
394,17839,2812,292,68,75
394,2812,17839,291,65,75
395,17839,2812,291,67,74
395,2812,17839,290,65,75
396,17839,2812,291,67,74
396,2812,17839,289,65,75
397,17839,2812,290,67,74
397,2812,17839,289,65,75
398,17839,2812,289,67,74
398,2812,17839,291,65,74
399,17839,2812,289,68,74
399,2812,17839,290,65,74
400,17839,2812,291,68,74
400,2812,17839,289,67,75
401,17839,2812,290,68,74
401,2812,17839,288,65,74
403,17839,2812,288,67,74
403,2812,17839,287,67,74
402,17839,2812,289,68,74
402,2812,17839,287,67,75
404,17839,2812,287,68,75
404,2812,17839,288,67,75
405,17839,2812,287,68,75
405,2812,17839,288,65,75
406,17839,2812,288,68,75
406,2812,17839,290,67,75
407,17839,2812,288,68,75
407,2812,17839,292,65,75
408,17839,2812,290,68,75
408,2812,17839,292,67,75
409,17839,2812,292,68,76
409,2812,17839,294,71,82
411,17839,2812,294,68,74
411,2812,17839,286,67,76
410,17839,2812,292,68,75
410,2812,17839,292,65,75
412,17839,2812,292,68,74
412,2812,17839,290,67,76
413,17839,2812,286,68,74
413,2812,17839,290,65,75
414,17839,2812,290,68,74
414,2812,17839,289,65,74
415,17839,2812,290,68,75
415,2812,17839,288,67,75
416,17839,2812,289,67,73
416,2812,17839,289,67,75
417,17839,2812,288,67,74
417,2812,17839,288,67,75
418,17839,2812,289,68,74
418,2812,17839,289,67,75
419,17839,2812,288,67,74
419,2812,17839,289,65,75
420,17839,2812,289,68,74
420,2812,17839,288,67,75
421,17839,2812,289,68,74
421,2812,17839,286,65,74
422,17839,2812,288,67,74
422,2812,17839,288,67,75
423,17839,2812,286,68,74
423,2812,17839,287,67,74
424,17839,2812,288,68,74
424,2812,17839,290,67,74
425,17839,2812,287,68,74
425,2812,17839,288,67,75
427,17839,2812,288,68,74
427,2812,17839,290,65,75
426,17839,2812,290,67,74
426,2812,17839,288,65,74
428,17839,2812,288,68,74
428,2812,17839,288,65,74
429,17839,2812,290,68,75
429,2812,17839,290,67,74
430,17839,2812,288,68,74
430,2812,17839,289,65,74
431,17839,2812,290,67,74
431,2812,17839,287,65,74
433,17839,2812,287,68,75
433,2812,17839,289,67,75
432,17839,2812,289,68,74
432,2812,17839,292,65,75
434,17839,2812,292,67,74
434,2812,17839,289,65,75
435,17839,2812,289,68,74
435,2812,17839,290,67,75
436,17839,2812,289,68,74
436,2812,17839,290,67,75
437,17839,2812,290,68,75
437,2812,17839,291,65,74
438,17839,2812,290,67,74
438,2812,17839,288,67,74
439,17839,2812,291,68,75
439,2812,17839,289,65,75
440,17839,2812,288,68,75
