rolling,TagID,AnchorIdx,AnchorId
48973,25651,3,65535
48973,25651,4,65535
48973,25651,5,65535
48973,25651,6,65535
48973,25651,7,65535
48973,7283,0,17839
48973,7283,1,65535
48973,7283,2,20324
48973,7283,3,65535
48973,7283,4,65535
48973,7283,5,65535
48973,7283,6,65535
48973,7283,7,65535
48973,20324,0,17839
48973,20324,1,65535
48973,20324,2,20324
48973,20324,3,65535
48973,20324,4,65535
48973,20324,5,65535
48973,20324,6,65535
48973,20324,7,65535
48979,22305,0,17839
48979,22305,1,65535
48979,22305,2,20324
48979,22305,3,65535
48979,22305,4,65535
48979,22305,5,65535
48979,22305,6,65535
48979,22305,7,65535
48979,25651,0,17839
48979,25651,1,65535
48979,25651,2,20324
48979,25651,3,65535
48979,25651,4,65535
48979,25651,5,65535
48979,25651,6,65535
48979,25651,7,65535
48979,7283,0,17839
48979,7283,1,65535
48979,7283,2,20324
48979,7283,3,65535
48979,7283,4,65535
48979,7283,5,65535
48979,7283,6,65535
48979,7283,7,65535
48979,20324,0,17839
48979,20324,1,65535
48979,20324,2,20324
48979,20324,3,65535
48979,20324,4,65535
48979,20324,5,65535
48979,20324,6,65535
48979,20324,7,65535
48987,25651,0,17839
48987,25651,1,65535
48987,25651,2,20324
48987,25651,3,65535
48987,25651,4,65535
48987,25651,5,65535
48987,25651,6,65535
48987,25651,7,65535
48987,7283,0,17839
48987,7283,1,65535
48987,7283,2,20324
48987,7283,3,65535
48987,7283,4,65535
48987,7283,5,65535
48987,7283,6,65535
48987,7283,7,65535
48987,22305,0,17839
48987,22305,1,65535
48987,22305,2,20324
48987,22305,3,65535
48987,22305,4,65535
48987,22305,5,65535
48987,22305,6,65535
48987,22305,7,65535
48987,20324,0,17839
48987,20324,1,65535
48987,20324,2,20324
48987,20324,3,65535
48987,20324,4,65535
48987,20324,5,65535
48987,20324,6,65535
48987,20324,7,65535
48985,22305,0,17839
48985,22305,1,65535
48985,22305,2,20324
48985,22305,3,65535
48985,22305,4,65535
48985,22305,5,65535
48985,22305,6,65535
48985,22305,7,65535
48985,25651,0,17839
48985,25651,1,65535
48985,25651,2,20324
48985,25651,3,65535
48985,25651,4,65535
48985,25651,5,65535
48985,25651,6,65535
48985,25651,7,65535
48985,7283,0,17839
48985,7283,1,65535
48985,7283,2,20324
48985,7283,3,65535
48985,7283,4,65535
48985,7283,5,65535
48985,7283,6,65535
48985,7283,7,65535
48985,20324,0,17839
48985,20324,1,65535
48985,20324,2,20324
48985,20324,3,65535
48985,20324,4,65535
48985,20324,5,65535
48985,20324,6,65535
48985,20324,7,65535
48991,25651,0,17839
48991,25651,1,65535
48991,25651,2,20324
48991,25651,3,65535
48991,25651,4,65535
48991,25651,5,65535
48991,25651,6,65535
48991,25651,7,65535
48991,7283,0,17839
48991,7283,1,65535
48991,7283,2,20324
48991,7283,3,65535
48991,7283,4,65535
48991,7283,5,65535
48991,7283,6,65535
48991,7283,7,65535
48991,22305,0,17839
48991,22305,1,65535
48991,22305,2,20324
48991,22305,3,65535
48991,22305,4,65535
48991,22305,5,65535
48991,22305,6,65535
48991,22305,7,65535
48991,20324,0,17839
48991,20324,1,65535
48991,20324,2,20324
48991,20324,3,65535
48991,20324,4,65535
48991,20324,5,65535
48991,20324,6,65535
48991,20324,7,65535
48993,25651,0,17839
48993,25651,1,65535
48993,25651,2,20324
48993,25651,3,65535
48993,25651,4,65535
48993,25651,5,65535
48993,25651,6,65535
48993,25651,7,65535
48993,22305,0,17839
48993,22305,1,65535
48993,22305,2,20324
48993,22305,3,65535
48993,22305,4,65535
48993,22305,5,65535
48993,22305,6,65535
48993,22305,7,65535
48993,7283,0,17839
48993,7283,1,65535
48993,7283,2,20324
48993,7283,3,65535
48993,7283,4,65535
48993,7283,5,65535
48993,7283,6,65535
48993,7283,7,65535
48993,20324,0,17839
48993,20324,1,65535
48993,20324,2,20324
48993,20324,3,65535
48993,20324,4,65535
48993,20324,5,65535
48993,20324,6,65535
48993,20324,7,65535
48999,22305,0,17839
48999,22305,1,65535
48999,22305,2,20324
48999,22305,3,65535
48999,22305,4,65535
48999,22305,5,65535
48999,22305,6,65535
48999,22305,7,65535
48999,25651,0,17839
48999,25651,1,65535
48999,25651,2,20324
48999,25651,3,65535
48999,25651,4,65535
48999,25651,5,65535
48999,25651,6,65535
48999,25651,7,65535
48999,7283,0,17839
48999,7283,1,65535
48999,7283,2,20324
48999,7283,3,65535
48999,7283,4,65535
48999,7283,5,65535
48999,7283,6,65535
48999,7283,7,65535
48999,20324,0,17839
48999,20324,1,65535
48999,20324,2,20324
48999,20324,3,65535
48999,20324,4,65535
48999,20324,5,65535
48999,20324,6,65535
48999,20324,7,65535
48997,7283,0,17839
48997,7283,1,65535
48997,7283,2,20324
48997,7283,3,65535
48997,7283,4,65535
48997,7283,5,65535
48997,7283,6,65535
