rolling,TagID,AnchorIdx,IQ,sync_time,reply_time
10783,54883,1,(2897-3239j),3512391295,4151367319
10775,54883,0,(-4649+1325j),3595295265,4234271238
10775,54883,1,(3462+2783j),3723090572,67099296
10804,54883,0,(-1270+5111j),1757768567,2396744536
10804,54883,1,(-1950+2489j),1885563752,2524539775
10773,54883,0,(-4574+1032j),1500486391,2139462360
10773,54883,1,(1353+3008j),1628281685,2267257702
10781,54883,0,(1773-2133j),1289787160,1928763132
10781,54883,1,(2646-2672j),1417582467,2056558492
10766,54883,0,(4956-254j),611106375,1250082362
10766,54883,1,(3359+3903j),738901908,1377877919
10789,54883,0,(-4163+3955j),1079087843,1718063812
10789,54883,1,(832+3063j),1206883174,1845859214
10810,54883,0,(2586+2293j),3747223681,91232359
10810,54883,1,(4245-1329j),3875018884,219027610
10779,54883,0,(3897-4477j),3489945643,4128921617
10779,54883,1,(2080-2607j),3617740949,4256716960
10782,54883,0,(1342+2161j),189707921,828683903
10782,54883,1,(230-3327j),317503485,956479517
10787,54883,0,(-1178+4785j),3279246339,3918222300
10787,54883,1,(2141+1984j),3407041626,4046017670
10816,54883,0,(-2917-2835j),1441715583,2080691544
10816,54883,1,(-2722-485j),1569510841,2208486850
10785,54883,0,(-1348+3042j),1184437512,1823413495
10785,54883,1,(2987-4524j),1312232821,1951208842
10795,54883,0,(4529+3413j),3068547025,3707523006
10795,54883,1,(-3949+5062j),3196342423,3835318440
10788,54883,0,(-2761+2567j),2179167086,2818143064
10788,54883,1,(2235-2985j),2306962658,2945938692
10778,54883,0,(4273+470j),295057583,934033553
10778,54883,1,(4403-3312j),422853138,1061829164
10793,54883,0,(-581-5318j),973738199,1612714164
10793,54883,1,(3943+5133j),1101533585,1740509607
10822,54883,0,(-3631-2604j),3431174788,4070150749
10822,54883,1,(-2175+2845j),3558969992,4197946027
10791,54883,0,(-3880-4914j),3173896665,3812872638
10791,54883,1,(2083-2402j),3301692025,3940668047
10801,54883,0,(575+3550j),763038971,1402014936
10801,54883,1,(-6192+681j),890834389,1529810421
10794,54883,0,(3413-2307j),4168626251,512634939
10794,54883,1,(-3780-4265j),1454599,640430629
10784,54883,0,(711-2358j),2284516749,2923492730
10784,54883,1,(-1645+1828j),2412312308,3051288345
10828,54883,0,(-3510-3475j),1125666743,1764642719
10828,54883,1,(-2815+2062j),1253461984,1892438013
10799,54883,0,(109-3838j),2963197405,3602173377
10799,54883,1,(-2406-1165j),3090992823,3729968859
10797,54883,0,(5352-419j),868388547,1507364534
10797,54883,1,(1420+5313j),996183958,1635159994
10790,54883,0,(1532+3149j),4273975885,617984571
10790,54883,1,(-3869+40j),106804215,745780242
10834,54883,0,(-1684-5030j),3115125989,3754101960
10834,54883,1,(-370-3023j),3242921247,3881897290
10805,54883,0,(-1759+2289j),657689344,1296665316
10805,54883,1,(3572-656j),785484773,1424460810
10813,54883,0,(-1449+3010j),446985989,1085961961
10813,54883,1,(2743+2063j),574781478,1213757501
10803,54883,0,(-2885-859j),2857847788,3496823767
10803,54883,1,(5317+1587j),2985643221,3624619260
10806,54883,0,(-1813-2900j),3852577405,196586096
10806,54883,1,(-423-5129j),3980372603,324381334
10796,54883,0,(974+4775j),1968467781,2607443772
10796,54883,1,(4552+113j),2096262937,2735238956
10840,54883,0,(3376+929j),809617913,1448593900
10840,54883,1,(986+3204j),937413157,1576389192
10811,54883,0,(1189+3094j),2647144441,3286120432
10811,54883,1,(4548-1588j),2774939919,3413915944
